file,address,status,coords
knowledge/restaurants/shalashi.md,"""территория Гора Машук, 1, Пятигорск (у подножия горы, ~580 м от места дуэли М.Ю. Лермонтова)""",skip_has_coords,"[44.057945, 43.076125]"
knowledge/restaurants/sintra.md,"""адрес расходится между картами — см. ниже, Пятигорск, Ставропольский край""",skip_bad_address,
knowledge/restaurants/smelo.md,"""просп. 40 лет Октября, 62А, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0373793, 43.0643237]"
knowledge/restaurants/syty-slon.md,"""просп. Кирова, 27А, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0360706, 43.0783113]"
knowledge/restaurants/tarelka.md,"""ул. Акопянца, 11, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0428378, 43.0645953]"
knowledge/restaurants/tasty-arts.md,"""адрес расходится между картами — см. ниже, Пятигорск, Ставропольский край""",skip_bad_address,
knowledge/restaurants/tasty-point.md,"""Ессентукская ул., 29, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0479394, 43.0343331]"
knowledge/restaurants/u-volodi.md,"""ул. 295 Стрелковой Дивизии, 1а/1, микрорайон Белая Ромашка (район Лермонтовского разъезда), Пятигорск, Ставропольский край""",skip_has_coords,"[44.0616017, 43.0634827]"
knowledge/restaurants/ukropchik.md,"""ул. Крайнего, 59, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0350385, 43.0716389]"
knowledge/services/akademiya-chistoty.md,"""просп. 40 лет Октября, 51а, Пятигорск, Ставропольский край (7 филиалов)""",skip_has_coords,"[44.045751, 43.0642527]"
knowledge/services/bellichi-himchistka.md,"""ул. Дзержинского, 47, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0378299, 43.0750644]"
knowledge/services/remont-telefonov-magnit-lermontovsky.md,"""ул. 295-й Стрелковой Дивизии, 18, Пятигорск, Ставропольский край (район Белая Ромашка, рядом с ТЦ «Лермонтовский», д. 1, где «Магнит» и «Магнит Косметик»)""",skip_has_coords,"[44.0588415, 43.0684074]"
knowledge/services/stomatologiya-teplosernaya.md,"""ул. Теплосерная, 102, 1 этаж, Пятигорск, 357501""",skip_has_coords,"[44.0353604, 43.0902463]"
knowledge/shopping/as-kavkaz.md,"""ул. Дзержинского, 82, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0317605, 43.0726188]"
knowledge/shopping/pyatigorskaya-bronza.md,"""Первомайская ул., 81Е, Пятигорск, Ставропольский край""",skip_has_coords,"[44.030162, 43.0561429]"
knowledge/shopping/verhny-rynok.md,"""ул. Леваневского, 3, стр. 5, Пятигорск, Ставропольский край""   # на 2ГИС числится как «ул. Леваневского, 15/3» — расхождение номера дома, не разбирали, объект точно тот же (название и профиль совпадают)",skip_has_coords,"[44.0419019, 43.0684952]"
knowledge/sport/bam-bey-nastolny-tennis.md,"""ул. Ермолова, 26А, этаж 2, Пятигорск""",skip_has_coords,"[44.046463, 43.0137339]"
knowledge/sport/bassein-delfin.md,"""Подстанционная ул., 23, Пятигорск""",skip_has_coords,"[44.0756285, 43.0877918]"
knowledge/sport/bassein-garmoniya.md,"""Украинская ул., 57, Пятигорск""",skip_has_coords,"[44.0495529, 43.039468]"
knowledge/sport/bassein-hayat.md,"""Бештаугорское ш., 161, Пятигорск""",skip_has_coords,"[44.0630158, 43.0034396]"
knowledge/sport/bassein-impuls.md,"""ул. Малыгина, 12, Пятигорск""",skip_has_coords,"[44.0402372, 43.0616497]"
knowledge/sport/bassein-mashuk-vos.md,"""Иноземцевское ш., 7, Пятигорск""",skip_has_coords,"[44.063825, 43.070835]"
knowledge/sport/bassein-skfu.md,"""ул. Ермолова, 46, стр. З, Пятигорск""",skip_has_coords,"[44.0513668, 43.0001075]"
knowledge/sport/bassein-viktoriya.md,"""Широкая ул., 106, Пятигорск""",skip_has_coords,"[44.056894, 43.045097]"
knowledge/sport/rayder-veloprokat.md,"""просп. 40 лет Октября, 91А, Пятигорск""",skip_has_coords,"[44.037407, 43.0648404]"
knowledge/sport/sport-klub-beshtau.md,"""Первая Бульварная ул., 17, этаж 2, Пятигорск""",skip_has_coords,"[44.053091, 43.0593042]"
knowledge/sport/tennisny-klub-oranzhereynaya.md,"""Оранжерейная ул., 22/4, этаж цокольный, Пятигорск""",skip_has_coords,"[44.0343557, 43.0513272]"
knowledge/transport/aeroport-mineralnye-vody.md,"""Ставропольский край, Минераловодский муниципальный округ, аэропорт Минеральные Воды имени М.Ю. Лермонтова, 5""   # подтверждено Яндекс.Картами и 2ГИС («Территория Аэропорт, 5»), 31.07.2026; на месте не сверено, объект вне города MVP",skip_has_coords,"[44.2169378, 43.0868767]"
knowledge/transport/avtobusy-marshrutki.md,null,skip_bad_address,
knowledge/transport/avtovokzal-pyatigorsk.md,"""ул. Бунимовича, 34, Пятигорск""   # подтверждено Яндекс.Картами и 2ГИС, 31.07.2026; на месте не сверено",skip_has_coords,"[44.0308893, 43.0715387]"
knowledge/transport/elektrichki.md,null,skip_bad_address,
knowledge/transport/taksi-transfer.md,null,skip_bad_address,
knowledge/transport/tramvay.md,null,skip_bad_address,
knowledge/transport/zhd-vokzal-pyatigorsk.md,"""Октябрьская ул., 75, Пятигорск""   # подтверждено Яндекс.Картами и 2ГИС, 31.07.2026; на месте не сверено",skip_has_coords,"[44.0374019, 43.0551375]"
